TEMPORARY,BURST_NUMBER,ORIENTATION,START_TIME,Gate0,Gate1,Gate2,Gate3,Gate4,Gate5,Gate6,Gate7,Gate8,Gate9,Gate10,Gate11,Gate12,Gate13,Gate14,Gate15,Gate16,Gate17,Gate18,Gate19,Gate20,Gate21,Gate22,Gate23,Gate24,FISH_ID,NUM_NA,NA_GATES,NUM_NEGATIVE,NEGATIVE_GATES,STATUS,PEAK_SPEED,PEAK_SPEED_START,PEAK_SPEED_DIST,PEAK_SPEED_FL,PEAK_SPEED_SL,PEAK_SPEED_2,PEAK_SPEED_2_START,PEAK_SPEED_2_DIST,PEAK_SPEED_2_FL,PEAK_SPEED_2_SL,PEAK_SPEED_3,PEAK_SPEED_3_START,PEAK_SPEED_3_DIST,PEAK_SPEED_3_FL,PEAK_SPEED_3_SL,AVE_SPEED,AVE_SPEED_FIRST_HALF,AVE_SPEED_FIRST_QUARTER,AVE_SPEED_SECOND_QUARTER,WEIGHTED_AVE_SPEED,WEIGHTED_AVE_SPEED_FIRST_HALF,WEIGHTED_AVE_SPEED_1Q,WEIGHTED_AVE_SPEED_2Q,TAGS,MISSED_GATES_FIRST_HALF,MISSED_GATES_SECOND_HALF,MISSED_GATES_FIRST_Q,MISSED_GATES_SECOND_Q,MISSED_GATES_LONGEST_GAP,MISSED_GATES_LONGEST_GAP_START,MISSED_GATES_LONGEST_GAP_EVENTS,MISSED_SEGMENTS_NUM,MISSED_SEGMENTS_FIRST_HALF,MISSED_SEGMENTS_FIRST_Q,MISSED_SEGMENTS_SECOND_Q,BURST_COUNT,TRIAL_TEMP,MASS,SL,FL,TL,TANK_ID,TOTAL_BURST_EVENTS,OBSERVER,COMMENTS,FAST_DATE_TIME,BURST_DATE_TIME,TRIAL_DURATION,FAST_DURATION
2,11,L,741.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.461141,CS02,23,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22",0,NA,R2B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,18,1.88,5.2,5.8,6,O2,9,AGM/AM,First burst trial not recorded due to blocked sensor,NA,NA,NA,NA
3,1,R,296.9,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.296778,5.289386,5.315202,5.335166,CS03,20,"0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0,NA,R2B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18,1.66,4.9,5.5,5.7,O2,12,AGM/AM,NA,NA,NA,NA,NA
3,2,R,332.5,NA,0,0.149786,NA,0.172678,0.245128,NA,0.399972,NA,0.539423,0.620015,0.69969,0.737361,0.804743,0.847677,0.879504,0.958001,0.984473,1.031025,1.086552,1.130118,NA,1.179587,1.244662,1.240478,CS03,5,"0,3,6,8,21",0,NA,NA,218.41691420583615,5,5,39.71216621924294,44.57488045017064,188.87881535206975,70,5,34.34160279128541,38.546697010626474,157.09931818895936,60,5,28.56351239799261,32.06108534468558,96.76539312423101,83.00164350698806,89.17531347789561,77.59968228244394,65.17425776511374,34.526497023361316,27.541835683894455,41.7785475398747,NA,4,1,3,1,1,0,5,22,18,13,6,1,18,1.66,4.9,5.5,5.7,O2,12,AGM/AM,NA,NA,NA,NA,NA
3,3,L,365.1,0,0.071965,0.208234,NA,0.387344,0.492299,0.529642,0.603758,0.662461,NA,0.799529,0.878284,0.970754,1.034139,1.141653,1.234871,1.362767,1.433201,1.505708,1.584491,1.672801,1.730885,1.753341,1.806423,1.84279,CS03,2,"3,9",0,NA,NA,133.89390247168157,15,5,24.344345903942102,27.325286218710524,89.71908953067941,15,10,16.312561732850803,18.310018271567227,88.15129112257732,15,15,16.02750747683224,17.99005941277088,59.138535982001486,59.541209320358796,55.57706022009619,69.43816046142645,50.63753724536224,41.74667101535864,45.43469026365152,39.05177596955917,NA,2,0,1,1,1,3,2,10,10,4,6,2,18,1.66,4.9,5.5,5.7,O2,12,AGM/AM,NA,NA,NA,NA,NA
3,4,R,398.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.088211,0.161206,NA,NA,0.381127,0.446696,0.524355,0.673184,0.778652,0.976124,1.01219,1.12577,1.156938,CS03,13,"0,1,2,3,4,5,6,7,8,9,10,14,15",0,NA,NA,76.25554759108726,70,5,13.86464501656132,15.562356651242299,69.81875052364062,70,10,12.694318277025566,14.248724596661349,68.497842317967,50,5,12.454153148721273,13.979151493462652,43.22560379854198,56.68227318588385,NaN,56.68227318588385,14.54459777705427,0.9008625744736785,0,2.0993434513290317,NA,11,2,8,4,11,0,1,44,32,20,13,3,18,1.66,4.9,5.5,5.7,O2,12,AGM/AM,NA,NA,NA,NA,NA
3,5,L,440.1,NA,0,0.111825,NA,0.178508,0.22847,0.267326,0.317824,NA,0.524941,NA,0.651548,NA,0.828164,0.93896,1.01568,1.248549,1.391635,1.494282,1.648578,1.805626,1.968786,2.089749,2.356777,2.372592,CS03,5,"0,3,8,10,12",0,NA,NA,128.68025530162652,15,5,23.396410054841184,26.261276592168674,112.58979035781034,10,10,20.470870974147335,22.977508236287825,111.91440786086802,15,10,20.34807415652146,22.839675073646536,48.495868744320134,86.16587928116584,92.80267486293043,61.830962148029016,32.05470265337643,36.438174049272696,49.14234480857696,15.896748001444442,NA,5,1,2,3,1,0,5,23,19,9,11,4,18,1.66,4.9,5.5,5.7,O2,12,AGM/AM,NA,NA,NA,NA,NA
3,6,R,476.6,NA,0,0.069227,0.105156,0.134665,0.221537,0.356634,0.384688,0.40803,0.482508,0.549654,0.671302,0.793827,NA,0.945295,1.037762,1.167853,1.313839,1.439568,1.572686,1.657007,1.762461,1.784918,1.85177,1.886596,CS03,2,"0,13",0,NA,NA,214.2061520006852,25,5,38.94657309103367,43.715541224629625,194.56767063584715,20,10,35.37594011560857,39.707687884866765,178.22770371426554,20,5,32.405037038957374,36.373000758013376,60.68668613876609,76.52021476657006,74.95993287644046,86.7353552030951,50.86785871159149,65.7345373781163,58.51860110509191,85.41211404435879,NA,1,1,1,0,1,0,2,10,4,4,0,5,18,1.66,4.9,5.5,5.7,O2,12,AGM/AM,NA,NA,NA,NA,NA
3,7,L,525.3,0,0.086636,0.191321,NA,0.25169,0.382097,NA,0.504195,0.606209,NA,0.808228,NA,1.087212,1.208942,1.37897,1.499993,1.657074,1.704051,1.797997,1.93431,2.063513,2.255503,2.250754,NA,2.594248,CS03,5,"3,6,9,11,23",0,NA,NA,106.43506396747334,70,5,19.35182981226788,21.721441626014965,82.82396594278516,5,5,15.058902898688212,16.902850192405136,81.90142344673956,15,10,14.891167899407192,16.714576213620315,42.845222818761606,50.99956349808908,52.845379839424425,45.92356855941689,29.161726054333148,24.782444395737215,31.424023835978804,13.61897842664702,NA,4,1,2,2,1,3,5,23,18,9,10,6,18,1.66,4.9,5.5,5.7,O2,12,AGM/AM,NA,NA,NA,NA,NA
3,8,R,562.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.888508,2.927649,2.869917,2.854798,2.818639,CS03,19,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",0,NA,R2B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,18,1.66,4.9,5.5,5.7,O2,12,AGM/AM,NA,NA,NA,NA,NA
3,9,R,600,NA,NA,NA,NA,0,0.06445,0.166327,0.191086,NA,0.324928,0.397461,0.499367,0.640676,NA,NA,NA,1.063119,1.201511,1.313659,1.459859,1.571986,1.667406,1.715341,NA,1.92965,CS03,9,"0,1,2,3,8,13,14,15,23",0,NA,NA,201.946766832263,20,5,36.71759396950236,41.213625884135304,94.5769572701307,20,15,17.195810412751037,19.301419851047083,78.96648662307715,15,10,14.357543022377662,16.1156095149137,52.72633608872451,72.49993940918354,91.03212995406896,60.14514571259326,24.014741869096994,31.56827392390023,22.212003401204583,42.3702454191898,NA,5,4,4,1,4,0,1,36,18,14,5,7,18,1.66,4.9,5.5,5.7,O2,12,AGM/AM,NA,NA,NA,NA,NA
