FISH_NUM,AS_TRIAL,Experiment Completed,ACC_TEMP,TEST_TEMP,FAST_DATE,TUNNEL_ID,AS_NUM,RMR,r^2 verfied,M Periods,MOD_RMR,MMR,r^2,MOD_MMR,M Period,MMR_SPEED,CONTROL_MEAN,MASS (g),SL,FL,TL,TANK_ID,RMR_mmHg,RMR_NUM,Vel_fail,Time_fail,MMR_mmHg,RMR Date,MMR Date,MMR_NUM,Controls
CS25_18.22_5.1.21,13,MORT IN RECOVERY,18,22,5.1.21,1,CS25,,,,,,,,,,,,,,,O2,,,,,,,,,
CS26_18.22_5.1.21,13,,18,22,5.1.21,2,CS26,425.9315649,>.99,"32,17,39",,1141.61661,0.99,,10,40,51.82918,2.35,5.7,6.2,6.8,O2,762.2,39,43,222.14,762.9,5.2.21,5.3.21,12,"16,17,18"
CS27_18.14_5.2.21,14,,18,14,5.2.21,1,CS27,296.0657391,>.97,"25,31,26",,612.14814,0.99,,5,26,128.9994,2.5,6,6.6,7,O2,762.9,31,26,98.3,768.7,5.3.21,5.4.21,5,"6,7,8"
CS28_18.14_5.2.21,14,,18,14,5.2.21,2,CS28,266.7043297,>.93,"27,30,32",,5.35E+02,9.80E-01,"snip(4,2,,500)",4,24,-143.0614,3.7,6.6,7.2,7.6,O2,762.9,31,24,70.33,768.7,5.3.21,5.4.21,4,"6,7,8"
CS29_18.14_5.3.21,15,,18,14,5.3.21,1,CS29,242.4273144,>.98,"6,5,17",,548.9328,0.99,,9,37,55.56412,3.28,6.4,7,7.4,O2,762.6,39,34,149.45,763.4,5.4.21,5.5.21,8,"11,12,13"
CS30_18.14_5.3.21,15,,18,14,5.3.21,2,CS30,246.3978602,>.99,"39,10,37",,7.05E+02,0.99,"snip(10,2,,750)",10,40,112.6608,3.92,6.7,7.3,7.8,O2,762.6,39,37,176.41,763.4,5.4.21,5.5.21,10,"11,12,13"
CS31_18.22_5.4.21,16,,18,22,5.4.21,1,CS31,394.4723017,>.99,"25,30,31",,908.27358,0.99,,10,40,106.1108,4.08,6.5,7,7.5,O2,761.8,35,55,293.29,762.7,5.5.21,5.6.21,15,"16,17,18"
CS32_18.22_5.4.21,16,,18,22,5.4.21,2,CS32,442.4367549,>.99,"26,31,30",,1245.8051,0.99,"snip(13,2,,300)",12,46,-414.4724,3.48,6.5,7.2,7.7,O2,761.8,35,49,245.43,762.7,5.5.21,5.6.21,13,"16,17,18"
CS33_18.11_5.5.21,,CHILLER MALFUNCTION; no data,18,11,5.5.21,1,CS33,,,,,,,,,,,,,,,O2,,,,,,,,,
CS34_18.11_5.5.21,,CHILLER MALFUNCTION; no data,18,11,5.5.21,2,CS34,,,,,,,,,,,,,,,O2,,,,,,,,,
