"","FISH_ID","PEAK_SPEED","PEAK_SPEED_START","PEAK_SPEED_DIST","PEAK_SPEED_FL","PEAK_SPEED_SL","PEAK_SPEED_2","PEAK_SPEED_2_START","PEAK_SPEED_2_DIST","PEAK_SPEED_2_FL","PEAK_SPEED_2_SL","PEAK_SPEED_3","PEAK_SPEED_3_START","PEAK_SPEED_3_DIST","PEAK_SPEED_3_FL","PEAK_SPEED_3_SL","AVE_SPEED","AVE_SPEED_FIRST_HALF","AVE_SPEED_FIRST_QUARTER","AVE_SPEED_SECOND_QUARTER","WEIGHTED_AVE_SPEED","WEIGHTED_AVE_SPEED_FIRST_HALF","WEIGHTED_AVE_SPEED_1Q","WEIGHTED_AVE_SPEED_2Q","Temp","ACC","TRIAL_TEMP","MASS","SL","FL","TL","TANK_ID","RAMP_END","TEMP","FAST_DATE","BURST_DATE","FAST_TIME","ACC_TIME","BURST_START","BURST_END","OBSERVER","TOTAL_EVENTS","FAILED_EVENTS","FAILURES","STOP_BURST_ModStand","TOTAL_BURST_EVENTS_new","BURSTS_DELETED_ModStand","MISTAKES","MISTAKE_EVENT","BURST_EVENTS","LENGTHS_SWAM","USABLE","COMMENTS"
"11","CS_B_01_18C",34.3081420082614,5,5,6.86162840165227,7.62403155739141,21.6967745574943,5,15,4.33935491149886,4.82150545722095,18.3281434140566,10,10,3.66562868281132,4.07292075867924,9.68740915493827,10.7275544867699,14.350661688888,7.72789924475397,2.8759633998042,5.56211646076766,5.77627102391626,5.56903295747057,18,1,18,1.13,4.5,5,5.4,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","10:01","10:10","10:26","AGM/KZ",22,"2,20",2,NA,19,"",4,"2,12,16,22",19,NA,"N",""
"12","CS_B_01_18C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,1,18,1.13,4.5,5,5.4,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","10:01","10:10","10:26","AGM/KZ",22,"2,20",2,NA,19,"",4,"2,12,16,22",19,NA,"N",""
"13","CS_B_01_18C",13.0904787711706,0,5,2.61809575423412,2.90899528248235,10.6940434178163,15,5,2.13880868356326,2.37645409284806,9.5001586526495,15,10,1.9000317305299,2.11114636725544,6.9051428130215,6.9051428130215,6.9051428130215,NA,1.37193835810737,2.91831261680055,4.84230563948024,0,18,1,18,1.13,4.5,5,5.4,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","10:01","10:10","10:26","AGM/KZ",22,"2,20",2,NA,19,"",4,"2,12,16,22",19,NA,"N",""
"14","CS_B_01_18C",27.7424831741839,35,5,5.54849663483679,6.16499626092976,18.9566991078977,93.2,5,3.79133982157954,4.21259980175505,17.8476284963635,93.2,6.8,3.56952569927269,3.96613966585855,11.9427732056496,12.9116733880007,13.4355954194459,12.4314115258425,10.1056151825207,9.00918641097299,7.98462839845603,9.78077407810993,18,1,18,1.13,4.5,5,5.4,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","10:01","10:10","10:26","AGM/KZ",22,"2,20",2,NA,19,"",4,"2,12,16,22",19,NA,"N",""
"15","CS_B_01_18C",22.8043930382749,0,5,4.56087860765498,5.06764289739442,15.974287786379,10,5,3.19485755727581,3.54984173030645,15.9702469459927,1.8,13.2,3.19404938919855,3.54894376577616,10.8171365379208,10.8171365379208,11.4719711730111,9.80367191877315,4.63428002964614,9.85778828938079,11.6196172088675,7.59879968391801,18,1,18,1.13,4.5,5,5.4,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","10:01","10:10","10:26","AGM/KZ",22,"2,20",2,NA,19,"",4,"2,12,16,22",19,NA,"N",""
"16","CS_B_01_18C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,1,18,1.13,4.5,5,5.4,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","10:01","10:10","10:26","AGM/KZ",22,"2,20",2,NA,19,"",4,"2,12,16,22",19,NA,"N",""
"17","CS_B_01_18C",22.2253831656058,0,5,4.44507663312115,4.93897403680128,18.7644016782881,15,5,3.75288033565762,4.16986703961958,15.4650743926658,1.8,8.2,3.09301487853316,3.43668319837017,11.4004310741084,11.8718073161506,13.3064041504655,9.72316343760531,6.30226573883515,11.7003405750248,13.1212476037175,9.61456219456371,18,1,18,1.13,4.5,5,5.4,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","10:01","10:10","10:26","AGM/KZ",22,"2,20",2,NA,19,"",4,"2,12,16,22",19,NA,"N",""
"18","CS_B_01_18C",28.1520435568418,40,5,5.63040871136836,6.25600967929817,24.2644239868389,35,10,4.85288479736779,5.39209421929754,21.9205948372614,20,5,4.38411896745229,4.87124329716921,11.0919401000881,11.0919401000881,7.63868098996623,17.6385209054669,4.62254404843215,9.83282414879465,7.50683646556826,13.4111240807942,18,1,18,1.13,4.5,5,5.4,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","10:01","10:10","10:26","AGM/KZ",22,"2,20",2,NA,19,"",4,"2,12,16,22",19,NA,"N",""
"19","CS_B_01_18C",31.9656305540283,0,5,6.39312611080566,7.10347345645074,25.6942588747972,90,5,5.13885177495943,5.70983530551048,22.121446742617,20,5,4.42428934852339,4.91587705391488,11.5034111614832,13.4837537302949,14.3614515974958,12.3880351313866,9.10259752103618,13.3221294531786,14.0787199041584,12.4355047336114,18,1,18,1.13,4.5,5,5.4,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","10:01","10:10","10:26","AGM/KZ",22,"2,20",2,NA,19,"",4,"2,12,16,22",19,NA,"N",""
"20","CS_B_01_18C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,1,18,1.13,4.5,5,5.4,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","10:01","10:10","10:26","AGM/KZ",22,"2,20",2,NA,19,"",4,"2,12,16,22",19,NA,"N",""
"21","CS_B_01_18C",35.5899750158375,25,5,7.1179950031675,7.90888333685278,35.2564554569942,0,5,7.05129109139884,7.83476787933204,33.3729358839156,25,15,6.67458717678311,7.41620797420346,12.0687307532666,16.0396941733831,12.1108625063678,22.2135725072642,6.67309852896514,8.82481486022997,6.53649559148626,11.3849421546856,18,1,18,1.13,4.5,5,5.4,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","10:01","10:10","10:26","AGM/KZ",22,"2,20",2,NA,19,"",4,"2,12,16,22",19,NA,"N",""
"22","CS_B_01_18C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,1,18,1.13,4.5,5,5.4,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","10:01","10:10","10:26","AGM/KZ",22,"2,20",2,NA,19,"",4,"2,12,16,22",19,NA,"N",""
"23","CS_B_02_18C",100.379434261508,60,10,19.3037373579824,20.9123821378143,94.4804519944824,50,5,18.1693176912466,19.6834274988505,90.420818489249,55,15,17.3886189402402,18.8376705185935,22.3354924525586,23.8505739030035,21.0562503905505,54.5881325399858,10.2823387444133,9.41583915464486,14.1839785619797,2.02178268666614,18,2,18,1.35,4.8,5.2,5.6,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","14:08","14:15","14:27","AGM/KZ",17,"14,15,16,17",4,NA,13,"",NA,NA,13,NA,"N",""
"24","CS_B_02_18C",102.770698018581,10,10,19.763595772804,21.4105620872044,90.3429418070997,10,15,17.3736426552115,18.8214462098124,89.7123821029779,5,15,17.2523811736496,18.6900796047871,65.912340715013,77.940800129214,77.940800129214,NA,17.7083205476687,17.0240783683378,28.2477587272102,0,18,2,18,1.35,4.8,5.2,5.6,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","14:08","14:15","14:27","AGM/KZ",17,"14,15,16,17",4,NA,13,"",NA,NA,13,NA,"N",""
"25","CS_B_02_18C",32.3085074761886,5,5,6.21317451465166,6.7309390575393,29.8493336682283,1.8,8.2,5.74025647465929,6.2186111808809,28.9141019858205,0,10,5.56040422804241,6.02377124704594,13.5567418394914,13.5567418394914,13.5567418394914,NA,2.61555447000539,5.5636651345442,9.2316933086899,0,18,2,18,1.35,4.8,5.2,5.6,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","14:08","14:15","14:27","AGM/KZ",17,"14,15,16,17",4,NA,13,"",NA,NA,13,NA,"N",""
"26","CS_B_02_18C",27.9535747031331,93.2,5,5.37568744291021,5.82366139648606,27.8230129049681,93.2,6.8,5.35057940480156,5.79646102186836,26.8679975281441,85,5,5.16692260156618,5.59749948503002,22.2470691783969,20.6892969771944,20.3264962690564,21.0934639716963,21.056108302774,18.4991609215145,16.7942999958443,21.0449257955298,18,2,18,1.35,4.8,5.2,5.6,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","14:08","14:15","14:27","AGM/KZ",17,"14,15,16,17",4,NA,13,"",NA,NA,13,NA,"N",""
"27","CS_B_02_18C",100.012001440173,10,5,19.2330772000332,20.8358336333693,76.3994468680046,10,10,14.6922013207701,15.9165514308343,72.9685554171855,10,15,14.0324145033049,15.2017823785803,34.9407166956699,41.2100282897658,45.1002024147632,37.1762012103607,27.9730806509066,36.460288192921,36.2114411990556,37.5889612291298,18,2,18,1.35,4.8,5.2,5.6,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","14:08","14:15","14:27","AGM/KZ",17,"14,15,16,17",4,NA,13,"",NA,NA,13,NA,"N",""
"28","CS_B_02_18C",29.7330566176864,20,5,5.71789550340123,6.19438679535134,28.0796338415747,0,5,5.39992958491821,5.84992371699473,27.6456928010616,0,10,5.31647938481954,5.7595193335545,25.5006912348169,25.5006912348169,25.5006912348169,NA,6.22778857290987,13.2474129465712,21.9812031275912,0,18,2,18,1.35,4.8,5.2,5.6,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","14:08","14:15","14:27","AGM/KZ",17,"14,15,16,17",4,NA,13,"",NA,NA,13,NA,"N",""
"29","CS_B_02_18C",38.6829238101133,40,5,7.43902380963716,8.05894246044026,36.5402253070292,50,10,7.02696640519792,7.61254693896442,32.6014666313122,45,15,6.26951281371388,6.7919722148567,20.9051691099011,24.2084055862667,23.7323372080329,24.2764153545859,7.7273941182203,4.78291680548093,0.625852774473442,10.2669921552899,18,2,18,1.35,4.8,5.2,5.6,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","14:08","14:15","14:27","AGM/KZ",17,"14,15,16,17",4,NA,13,"",NA,NA,13,NA,"N",""
"30","CS_B_02_18C",57.3263013070397,10,5,11.0242887128922,11.9429794389666,50.0445396402799,10,10,9.62394993082305,10.4259457583916,46.6361355432643,1.8,5,8.96848760447391,9.71586157151341,29.1661593581268,38.1300756049176,41.8577696056857,32.349292143631,26.6438813080538,37.9423958429018,41.5814658738192,32.3730494379516,18,2,18,1.35,4.8,5.2,5.6,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","14:08","14:15","14:27","AGM/KZ",17,"14,15,16,17",4,NA,13,"",NA,NA,13,NA,"N",""
"31","CS_B_02_18C",13.4389455265782,0,5,2.58441260126504,2.79978031803713,12.5810599543011,0,6.8,2.41943460659637,2.62105415714607,12.2975364345261,0,10,2.36491085279348,2.56198675719293,12.2107157332341,12.2107157332341,12.2107157332341,NA,0.729496701852536,1.55174568620381,2.57478477257235,0,18,2,18,1.35,4.8,5.2,5.6,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","14:08","14:15","14:27","AGM/KZ",17,"14,15,16,17",4,NA,13,"",NA,NA,13,NA,"N",""
"32","CS_B_02_18C",36.6297682800856,70,5,7.04418620770877,7.63120172501784,34.9868099726402,65,10,6.72823268704618,7.28891874430003,34.2397742914078,60,15,6.58457197911688,7.13328631070995,20.1182490198775,16.7838883844379,18.7333645432986,14.9986157598679,14.4401417628959,6.84915615987155,6.59250726827465,8.0428171586545,18,2,18,1.35,4.8,5.2,5.6,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","14:08","14:15","14:27","AGM/KZ",17,"14,15,16,17",4,NA,13,"",NA,NA,13,NA,"N",""
"33","CS_B_02_18C",25.7847591445648,0,5,4.95860752780093,5.37182482178434,23.1923854760005,0,10,4.4600741300001,4.83174697416678,21.0736608742197,5,5,4.05262709119611,4.39034601546245,15.6129585891303,15.6129585891303,15.6129585891303,NA,0.937432846028151,1.99405613656083,3.3087028510656,0,18,2,18,1.35,4.8,5.2,5.6,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","14:08","14:15","14:27","AGM/KZ",17,"14,15,16,17",4,NA,13,"",NA,NA,13,NA,"N",""
"34","CS_B_02_18C",46.3770266760661,30,5,8.91865897616656,9.66188055751377,45.9916019334871,25,10,8.8445388333629,9.58158373614314,45.6125306744267,25,5,8.77164051431283,9.50261055717224,20.5650733774122,21.7745327908293,9.94369275463566,32.1164558033661,14.8961452295576,16.9465883622603,6.4138439573656,30.5528061410882,18,2,18,1.35,4.8,5.2,5.6,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","14:08","14:15","14:27","AGM/KZ",17,"14,15,16,17",4,NA,13,"",NA,NA,13,NA,"N",""
"35","CS_B_02_18C",65.5454033008666,20,5,12.6048852501667,13.6552923543472,59.670855560727,40,5,11.475164530909,12.4314282418181,44.1045454144505,15,10,8.48164334893278,9.18844696134385,12.5531915487393,12.5531915487393,13.310123824366,12.4214352342753,4.75286979095934,10.110045976192,12.7070703846306,7.65766737189425,18,2,18,1.35,4.8,5.2,5.6,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","14:08","14:15","14:27","AGM/KZ",17,"14,15,16,17",4,NA,13,"",NA,NA,13,NA,"N",""
"36","CS_B_02_18C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,18,1.35,4.8,5.2,5.6,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","14:08","14:15","14:27","AGM/KZ",17,"14,15,16,17",4,NA,13,"",NA,NA,13,NA,"N",""
"37","CS_B_02_18C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,18,1.35,4.8,5.2,5.6,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","14:08","14:15","14:27","AGM/KZ",17,"14,15,16,17",4,NA,13,"",NA,NA,13,NA,"N",""
"38","CS_B_02_18C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,18,1.35,4.8,5.2,5.6,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","14:08","14:15","14:27","AGM/KZ",17,"14,15,16,17",4,NA,13,"",NA,NA,13,NA,"N",""
"39","CS_B_02_18C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,18,1.35,4.8,5.2,5.6,"O-8",NA,18.6,"5_25_2020","5_26_2020","10:55","14:08","14:15","14:27","AGM/KZ",17,"14,15,16,17",4,NA,13,"",NA,NA,13,NA,"N",""
"40","CS_B_03_18C",46.7132553533391,93.2,5,9.93899050071045,11.1222036555569,45.2515788142755,93.2,6.8,9.62799549239904,10.7741854319704,39.970262124979,0,5,8.50431109042107,9.51672907737596,23.3552549082439,39.970262124979,39.970262124979,NA,1.3979777919138,0.635255278527956,1.05406809401316,0,18,3,18,0.92,4.2,4.7,5,"O-8",NA,18.4,"5_25_2020","5_26_2020","10:55","14:40","14:46","14:59","KZ",18,"16,17,18",3,NA,15,"",NA,NA,15,NA,"N",""
"41","CS_B_03_18C",84.1410877759828,0,5,17.9023591012729,20.0335923276149,59.9527572273049,55,15,12.7559057930436,14.2744660065012,59.8924331899908,0,10,12.7430708914874,14.260103140474,25.4536012983743,63.508994661691,63.508994661691,NA,7.33891867428923,3.97996530793172,6.60388758373059,0,18,3,18,0.92,4.2,4.7,5,"O-8",NA,18.4,"5_25_2020","5_26_2020","10:55","14:40","14:46","14:59","KZ",18,"16,17,18",3,NA,15,"",NA,NA,15,NA,"N",""
"42","CS_B_03_18C",67.7029735145967,10,5,14.4048879818291,16.1197555987135,60.9852781538535,65,5,12.9755910965646,14.5203043223461,57.9616062320319,20,5,12.3322566451132,13.8003824361981,31.1857174488944,36.7056742877827,35.8953030963506,38.2559242324542,29.6193903091777,36.7807483648437,35.8776877075751,38.4506025412519,18,3,18,0.92,4.2,4.7,5,"O-8",NA,18.4,"5_25_2020","5_26_2020","10:55","14:40","14:46","14:59","KZ",18,"16,17,18",3,NA,15,"",NA,NA,15,NA,"N",""
