"","FISH_NUM","TEST_TEMP","RMR","MMR","aerobic_scope","MASS","SL","Run"
"80","CS35_18.14_AS_6.15.2020",14,223.2811525,"833.9042249","610.6230724",1.9,5.4,"LFR"
"81","CS36_18.14_AS_6.15.2020",14,145.9606119,"677.802318","531.8417061",2.57,5.6,"LFR"
"82","CS37_18.11_AS_6.16.2020",11,189.156,"652.9305161","463.7745161",2.28,5.4,"LFR"
"83","CS38_18.11_AS_6.16.2020",11,159.5818479,"436.671053","277.0892051",1.97,5.1,"LFR"
"84","CS39_18.14_AS_6.17.2020",14,215.1826,"587.12758","371.94498",2.2,5.6,"LFR"
"85","CS44_18.25_AS_6.20.2020",25,369.6358333,"913.9693868","544.3335535",1.7,5.1,"LFR"
"86","CS47_18.22_AS_6.22.2020",22,289.7958,"1025.453718","735.657918",2.12,5.3,"LFR"
"87","CS48_18.22_AS_6.22.2020",22,278.8752,"1036.610952","757.735752",2.21,5.4,"LFR"
"88","CS49_18.18_AS_6.23.2020",18,249.1909,"835.4614228","586.2705228",1.73,5,"LFR"
"89","CS50_18.18_AS_6.23.2020",18,241.2048027,"619.5460672","378.3412645",2.21,5.5,"LFR"
"90","CS51_18.25_AS_6.24.2020",25,379.9901037,"576.0398105","196.0497068",1.92,5,"LFR"
"91","CS52_18.25_AS_6.24.2020",25,405.7915792,"847.9128","442.1212208",1.8,5.1,"LFR"
"92","CS53_18.22_AS_6.25.2020",22,324.8800222,"899.2555","574.3754778",1.62,4.9,"LFR"
"93","CS55_18.22_AS_6.27.2020",22,227.4663986,"900.1533813","672.6869827",1.93,5.4,"LFR"
"94","CS56_18.22_AS_6.28.2020",22,274.5955297,"910.4866725","635.8911428",1.78,0.1,"LFR"
"95","CS58_18.18_AS_6.29.2020",18,297.5358861,"841.961063","544.4251769",1.76,5.1,"LFR"
"96","CS60_18.14_AS_6.30.2020",14,245.16,"633.996991","388.836991",2.27,5.5,"LFR"
